event_id,time,lat,long,mag,mag_type,depth,epi_distance,P_predict,S_predict,catalogued,detected,P_detected,S_detected,P_peak_confidence,peak_confidence
,,,,,,,,,,False,True,2024-04-23T16:45:39.980000,,,0.8922913074493408
,,,,,,,,,,False,True,2024-04-23T17:40:07.990000,,,0.8179939389228821
,,,,,,,,,,False,True,2024-04-23T17:41:08,,,0.8615607023239136
,,,,,,,,,,False,True,2024-04-23T18:09:04.920000,,,0.8466108441352844
,,,,,,,,,,False,True,2024-04-23T18:36:47.940000,,,0.8830898404121399
,,,,,,,,,,False,True,,2024-04-23T18:36:48.400000,,0.7843553423881531
,,,,,,,,,,False,True,2024-04-23T18:47:51.130000,,,0.7267953753471375
,,,,,,,,,,False,True,2024-04-23T18:55:23.050000,,,0.7124971747398376
,,,,,,,,,,False,True,2024-04-23T19:41:37,,,0.7196317911148071
,,,,,,,,,,False,True,2024-04-23T20:00:09.990000,,,0.8388829231262207
,,,,,,,,,,False,True,,2024-04-23T21:09:53.690000,,0.7271937727928162
,,,,,,,,,,False,True,2024-04-23T21:11:37.010000,,,0.7194495797157288
,,,,,,,,,,False,True,2024-04-23T21:57:06.020000,,,0.8609479069709778
,,,,,,,,,,False,True,2024-04-23T22:11:21.020000,,,0.8182474970817566
,,,,,,,,,,False,True,2024-04-23T22:46:44.760000,,,0.8261767625808716
,,,,,,,,,,False,True,2024-04-23T23:14:25.280000,,,0.8301602005958557
,,,,,,,,,,False,True,2024-04-23T23:42:06.020000,,,0.8957682251930237
,,,,,,,,,,False,True,,2024-04-24T00:33:58.880000,,0.7496539950370789
,,,,,,,,,,False,True,2024-04-24T00:37:11.600000,,,0.7929756045341492
